date;day;year;interval_0;interval_1;interval_2;interval_3;interval_4;interval_5;interval_6;interval_7;interval_8;interval_9;interval_10;interval_11;interval_12;interval_13;interval_14;interval_15;interval_16;interval_17;interval_18;interval_19;interval_20;interval_21;interval_22;interval_23;interval_24;interval_25;interval_26;interval_27;interval_28;interval_29;interval_30;interval_31;interval_32;interval_33;interval_34;interval_35;interval_36;interval_37;interval_38;interval_39;interval_40;interval_41;interval_42;interval_43;interval_44;interval_45;interval_46;interval_47;total_trips
2009-02-14;saturday;2009;3,0;3,0;4,0;3,0;1,0;5,0;0,0;2,0;3,0;2,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;3,0;0,0;0,0;2,0;1,0;2,0;1,0;0,0;3,0;5,0;0,0;3,0;1,0;4,0;1,0;3,0;1,0;1,0;3,0;4,0;5,0;0,0;1,0;2,0;1,0;2,0;2,0;79
2009-02-15;sunday;2009;0,0;0,0;5,0;4,0;3,0;2,0;2,0;1,0;1,0;1,0;1,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;1,0;1,0;3,0;1,0;0,0;2,0;0,0;4,0;0,0;2,0;2,0;3,0;4,0;1,0;0,0;0,0;3,0;0,0;2,0;2,0;6,0;3,0;2,0;1,0;2,0;3,0;1,0;0,0;6,0;80
2009-02-16;monday;2009;3,0;0,0;1,0;1,0;1,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;4,0;1,0;2,0;2,0;0,0;0,0;4,0;0,0;1,0;0,0;1,0;2,0;1,0;0,0;1,0;3,0;4,0;1,0;0,0;3,0;2,0;1,0;2,0;3,0;0,0;1,0;2,0;1,0;3,0;0,0;0,0;55
2009-02-17;tuesday;2009;4,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;1,0;1,0;1,0;0,0;1,0;0,0;4,0;3,0;1,0;5,0;2,0;2,0;4,0;3,0;1,0;2,0;0,0;2,0;2,0;1,0;4,0;2,0;6,0;4,0;3,0;2,0;3,0;4,0;2,0;1,0;0,0;1,0;0,0;75
2009-02-18;wednesday;2009;2,0;4,0;1,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;6,0;1,0;4,0;2,0;5,0;3,0;3,0;0,0;2,0;4,0;1,0;1,0;3,0;4,0;2,0;4,0;3,0;0,0;1,0;4,0;2,0;2,0;5,0;1,0;4,0;2,0;2,0;1,0;4,0;5,0;1,0;0,0;94
2009-02-19;thursday;2009;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;3,0;2,0;2,0;2,0;4,0;1,0;1,0;3,0;2,0;4,0;3,0;0,0;1,0;2,0;1,0;1,0;1,0;3,0;1,0;0,0;2,0;1,0;2,0;3,0;5,0;3,0;1,0;4,0;2,0;5,0;1,0;7,0;3,0;2,0;2,0;1,0;87
2009-02-20;friday;2009;1,0;0,0;2,0;2,0;1,0;1,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;2,0;5,0;2,0;4,0;3,0;1,0;1,0;1,0;2,0;4,0;1,0;3,0;3,0;2,0;2,0;1,0;2,0;3,0;4,0;4,0;3,0;2,0;2,0;2,0;2,0;10,0;3,0;2,0;4,0;0,0;0,0;0,0;3,0;1,0;97
2009-02-21;saturday;2009;2,0;3,0;2,0;1,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;5,0;1,0;2,0;1,0;1,0;1,0;3,0;2,0;2,0;2,0;3,0;2,0;1,0;1,0;2,0;1,0;0,0;4,0;7,0;2,0;1,0;4,0;1,0;7,0;7,0;2,0;3,0;84
2009-02-22;sunday;2009;2,0;1,0;5,0;0,0;0,0;5,0;2,0;0,0;2,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;2,0;1,0;2,0;1,0;3,0;3,0;0,0;1,0;4,0;5,0;3,0;1,0;1,0;1,0;0,0;2,0;1,0;2,0;1,0;4,0;0,0;4,0;2,0;2,0;0,0;0,0;0,0;2,0;0,0;2,0;0,0;71
2009-02-23;monday;2009;2,0;1,0;1,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;4,0;4,0;0,0;1,0;1,0;2,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;3,0;2,0;2,0;1,0;1,0;3,0;1,0;1,0;2,0;3,0;3,0;1,0;0,0;2,0;3,0;1,0;0,0;0,0;55
2009-02-24;tuesday;2009;0,0;1,0;1,0;0,0;0,0;0,0;2,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;4,0;3,0;2,0;1,0;0,0;2,0;3,0;2,0;1,0;2,0;1,0;1,0;1,0;5,0;1,0;2,0;2,0;3,0;2,0;1,0;2,0;0,0;4,0;2,0;2,0;2,0;1,0;3,0;2,0;2,0;1,0;0,0;69
2009-02-25;wednesday;2009;2,0;4,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;2,0;3,0;3,0;4,0;3,0;4,0;1,0;4,0;1,0;0,0;0,0;3,0;3,0;0,0;1,0;3,0;3,0;0,0;5,0;1,0;2,0;2,0;3,0;2,0;5,0;2,0;3,0;1,0;4,0;1,0;3,0;0,0;1,0;0,0;83
2009-02-26;thursday;2009;1,0;0,0;1,0;0,0;1,0;1,0;0,0;2,0;0,0;0,0;0,0;0,0;2,0;1,0;2,0;1,0;1,0;3,0;1,0;3,0;2,0;2,0;3,0;2,0;2,0;3,0;3,0;2,0;0,0;1,0;5,0;1,0;1,0;3,0;3,0;1,0;2,0;3,0;1,0;0,0;7,0;4,0;1,0;1,0;2,0;3,0;1,0;3,0;82
2009-02-27;friday;2009;1,0;2,0;1,0;1,0;1,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;5,0;0,0;0,0;3,0;2,0;2,0;2,0;4,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;1,0;0,0;1,0;3,0;1,0;2,0;3,0;5,0;2,0;2,0;4,0;0,0;1,0;2,0;4,0;2,0;69
2009-02-28;saturday;2009;0,0;1,0;2,0;2,0;2,0;1,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;2,0;2,0;3,0;5,0;1,0;5,0;2,0;0,0;1,0;3,0;1,0;6,0;3,0;4,0;4,0;3,0;2,0;3,0;1,0;3,0;2,0;1,0;3,0;2,0;2,0;0,0;5,0;2,0;2,0;0,0;87
2009-03-01;sunday;2009;0,0;3,0;5,0;2,0;2,0;2,0;2,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;0,0;1,0;4,0;2,0;2,0;1,0;2,0;1,0;1,0;0,0;2,0;1,0;2,0;1,0;5,0;2,0;3,0;0,0;2,0;0,0;3,0;1,0;0,0;2,0;1,0;1,0;1,0;2,0;0,0;65
2009-03-02;monday;2009;0,0;1,0;0,0;1,0;0,0;1,0;2,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;3,0;0,0;1,0;1,0;1,0;3,0;0,0;2,0;1,0;2,0;1,0;2,0;1,0;1,0;2,0;0,0;2,0;0,0;3,0;2,0;0,0;1,0;2,0;3,0;1,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;49
